"PID","Name_Prefix","Name_Given","Name_Middle","Name_Sur","Name_Suffix","Sex","Race","Height","Weight","HairColor","EyeColor","DOB","Birth_Country","Address_StreetNumber","Address_StreetName","Address_StreetSuffix","Address_StreetUnit","Probation","Custody","Gang","Parole","Dead","Caution"
134602,NA,"UXXTGOUQJ","JRKZKSJY","HHERMCY","","M","W",511,160,"Brown","Brown","10/10/49","United States","1537","OFQCGJKFHF","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
131027,NA,"XDUZGLG","QHAQOOQLO","FZTYLLNHO","","M","W",507,315,"Blonde","Hazel","3/28/64","United States of America (the)","306","UZQKCRCC","St","",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
4466207,NA,"NOBLEYJBN","BFILROSAR","EJOXDRCAF","","M","W",509,145,"Brown","Brown","4/29/95","United States of America (the)","8708","DMHUNJ","Way","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2510530,NA,"WKEQDSIP","XYZJHRNZ","PZEXNIFJD","","M","W",600,150,"Brown","Green","10/6/79","United States of America (the)","","GKXNOIMO","","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
614759,NA,"QSDMX","LLJIAFFZ","YQLPGOGEU","","M","W",605,230,"Gray","Hazel","4/8/63","United States of America (the)","5356","GUKJEPAY","Ave","",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1605062,NA,"DUOZPMD","ZKTWDBR","ORWARKN","","M","V",511,150,"Black","Brown","10/18/67","Viet Nam","6060","WBCUXYS","Blvd","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3602399,NA,"RDJDDT","IMJVMFAQ","HUVQKGDFI","","M","H",508,280,"Black","Brown","5/26/66","United States of America (the)","2632","JLWFEKB","St","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
4475780,NA,"ZBRAETHYP","YWFVWAUN","FWOBDCKYR","","M","W",511,175,"Black","Brown","3/8/84","Armenia","3500","MJGGD","Dr","93",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2876934,NA,"BOABNUKE","BTVKORUC","BSZPMNR","","M","W",511,187,"Brown","Blue","10/30/81","United States of America (the)","","KUPC","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1766035,NA,"KVVHUTFV","RRJNVFIW","PSYKJES","","M","W",601,250,"Blonde","Brown","9/21/63","United States","","ATWCCBEK","","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2093042,NA,"WHNHGNZCW","WLTXUEA","OMAXEQS","","M","W",605,220,"Brown","Green","8/9/76","United States of America (the)","7101","SKAUONXAC","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3887300,NA,"BGSZHDXO","ASNTBNTIT","NKSDN","","M","W",602,180,"Brown","Blue","11/18/82","Russian Federation (the)","3241","JPWDLB","Way","112",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1115429,NA,"TWCQUPIXI","WIIAXLJ","ULWXVXGD","","M","B",511,260,"Black","Brown","7/27/54","United States","916","KABMDLNWF","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1649194,NA,"ZJUBVONGN","UASOFPJI","XMXXVGO","","M","W",510,160,"Brown","Brown","8/3/57","United States of America (the)","1","CQYUPHC","","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
117503,NA,"FLNAYNKLSS","OTCCJICS","THJIHGOHM","","M","W",600,190,"Brown","Blue","12/21/36","United States of America (the)","5024","VOVEGC","Way","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15337,NA,"ADRWMRHLE","YETZQBMY","BHYEAYDD","","M","H",602,210,"Black","Brown","12/4/60","United States","296","PSJOZMG","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3273186,NA,"XYPREAYJ","ZCHINR","QSRQET","","M","W",506,190,"Brown","Blue","5/24/60","United States of America (the)","","MCDIUYVFA","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2458478,NA,"ASGKA","NSEXKVPVRL","YUCOVIM","","M","W",511,195,"Brown","Hazel","2/15/76","United States","128","WGHBGLNPNW","WAY","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2999051,NA,"TSXITVOC","FKHMTTCBY","PBRVQOZX","","F","W",502,110,"Brown","Hazel","3/11/87","United States of America (the)","6855","WXHZGSMRDB","Dr","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42459,NA,"LTPBYJOY","IYHWUB","EVKSRTWPX","","M","B",605,180,"Black","Brown","1/27/64","United States of America (the)","","ZNAWWUPQA","","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
3431116,NA,"NVAYBSURP","QRVZVAZS","FTCAIT","","F","W",506,200,"Brown","Brown","5/3/80","United States","2121","VBCNEEA","RD","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1191511,NA,"RKHPO","HYQMYRHQZ","SKTWROYDM","","M","W",511,210,"Brown","Brown","4/4/65","United States","711","JAOTEAWJS","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3056,NA,"DUTZLRRV","SXEAGILRZ","JZTMOV","","M","W",511,205,"Brown","Blue","4/19/53","United States of America (the)","7539","RBWDSCYZL","Ln","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2069625,NA,"QTQJZ","BHSDR","LGWLSNP","","M","B",510,210,"Black","Brown","10/30/75","United States of America (the)","CAL","EVAXJKA","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10912,NA,"IZYXEE","ZYUGKPULV","JXJOFKH","","M","W",510,150,"Gray","Blue","1/19/52","United States of America (the)","7012","CHWOKDG","Rd","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4312137,NA,"GMKMSNTL","EWRWISJLKF","WQLFZSA","","M","B",600,200,"Black","Brown","1/31/90","United States","1103 N","WUDLQJ","St","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1453519,NA,"FYYVE","HHYNNF","BFKWZJRU","","M","H",600,219,"Brown","Brown","5/28/69","United States of America (the)","3234","EKBUCCSTPN","St","14",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1816250,NA,"RROJSWULYS","RXLVTBSEOZ","QQWCKFQI","","M","W",510,200,"Gray","Brown","5/31/53","United States","520","DZFCDQWB","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
534650,NA,"GPDEOUR","TXCOSJKUE","BYXDIPWUD","","M","W",600,200,"Blonde","Blue","1/10/58","United States of America (the)","2814","KDYFSMUEM","St"," #67",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2364204,NA,"JYKSNNH","NHBMAUR","SZCPZYXBV","","F","W",508,200,"Blonde","Blue","9/14/74","United States","215","QDDYKSQ","DR","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1412246,NA,"DPEUCEND","CSDNSPK","DMLTUS","","M","W",506,155,"Brown","Brown","10/14/77","United States of America (the)","5620","JVHSHECAS","Dr","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3177726,NA,"GLSCAXTMR","HCXEEENVYJ","CDLUWSB","","M","W",509,170,"Blonde","Blue","7/22/78","United States","4089","ISVIHDL","LN","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2076748,NA,"SYTJEMRIK","HCTCSDFQG","KUJGQATHZ","","M","B",504,135,"Black","Brown","7/4/69","United States of America (the)","3729","OYPVUKK","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2546120,NA,"CJNSUJ","QMJVWX","BHMHHQID","","M","B",601,220,"Black","Brown","3/24/57","United States of America (the)","","MALTJPKV","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
222860,NA,"VQOPSHGXCJ","LAIEVEN","EMVEKATF","","F","I",502,120,"Black","Black","8/2/66","United States of America (the)","909","JUVXIXAW","Ave","",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
2692544,NA,"ZOKWEIUV","FUWJAHBQVU","FTETAJEM","","M","B",506,180,"Brown","Brown","4/22/50","United States of America (the)","6888","OVEWRZG","Dr","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
30657,NA,"YDRZWWK","LCK","VNFKWPK","","M","W",509,280,"Brown","Brown","12/25/65","United States of America (the)","1400","XTFVGRAEA","St","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2558237,NA,"QIVYUBHPAQ","VFMFWXUY","BUNYL","","M","B",602,170,"Black","Hazel","12/31/57","United States of America (the)","","MMYBMJGV","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3140789,NA,"RFAYSJVGK","DHWWBAGA","YKJMIJARX","","F","B",509,135,"Brown","Hazel","5/10/74","United States of America (the)","3613","VETJ","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1275970,NA,"IYFVFNIVRF","WZNGBCFN","JQUJFAXA","","F","B",507,240,"Black","Brown","6/28/65","United States of America (the)","706","UFCTRBEVS","Dr","4",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2222506,NA,"UEQPEERF","GXJNPJZZ","ZAZOUBPH","","F","B",510,280,"Black","Brown","7/15/66","United States of America (the)","404","QAMSSGKHR","St","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3069826,NA,"OXJOPJVIAU","GMHJHGZ","UKTTQRR","","F","B",507,130,"Black","Brown","10/24/73","United States of America (the)","","HPINFB","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2394312,NA,"RMFMIRJAM","VSEIWPMF","WYXDKHFF","","M","B",509,160,"Black","Brown","11/30/49","United States","2141","TTZHVGZUOL","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2511854,NA,"GUBAQAFYQ","VJOBKWPMTE","KAQAVTVR","","M","H",511,240,"Black","Brown","6/24/69","United States","","GIADXTZX","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2511875,NA,"OYYDEJ","KROATVOG","TNGOKDQSS","","M","H",505,190,"Black","Brown","4/7/64","Mexico","694","SQPUTWNF","","3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234367,NA,"DYTIZSFRF","CTBOGEGK","CDKVXBIKZ","","M","B",510,180,"Bald","Brown","6/21/67","United States of America (the)","","UVVDYKDG","","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2217240,NA,"XIIOYWQT","NIAYVBNLY","SOUTKMZQ","","M","B",511,150,"Black","Brown","7/23/76","United States of America (the)","8831","DRFCBUZP","Blvd","",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1178942,NA,"DNBYOLC","IPECYVQ","AUNKTBJSZ","","M","W",601,180,"Brown","Hazel","7/7/60","United States of America (the)","19910","ZHCNDDPO","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
